TreeID,date,spp,DBH (in),CW (ft),conks,trunk scar,dead/broken branches,poor branch health,present,comments,,
627,Nov 10,olirus,7.5,14.16,0,0,0,0,1,,,
629,Nov 10,olirus,8.7,10.83,0,1,0,0,1,,,
630,Nov 10,olirus,7.5,12.5,0,0,1,0,1,,,
631,Nov 10,olirus,5,5,0,3,1,1,1,trunk cut; one living branch,,
642,Nov 10,olirus,11.3,28.32,0,0,1,0,1,,,
643,Nov 10,olirus,8.7,25,0,1,1,0,1,,,
641,Nov 10,pinaus,6.8,10,0,0,1,0,1,,,
652,Nov 10,olirus,9.25,21.66,0,1,0,0,1,,,
649,Nov 10,olirus,9,16.66,0,1,0,0,1,,,
646,Nov 10,olirus,11.5,18.33,0,1,1,0,1,,,
650,Nov 10,olirus,6,28.32,0,2,0,0,1,,,
651,Nov 10,olirus,8.3,14.16,0,1,0,0,1,,,
648,Nov 10,olirus,7,10.83,0,1,0,0,1,stripped bark on branch,,
647,Nov 10,olirus,,,,,,,0,CNL,,
654,Nov 10,olirus,7.13,13.33,0,0,1,0,1,,,
655,Nov 10,olirus,12.25,20,0,2,1,0,1,,,
656,Nov 10,olirus,8,13.33,0,1,1,0,1,stripped bark on branch,,
657,Nov 10,olirus,10.6,25,0,1,0,0,1,,,
658,Nov 10,olirus,14,28.32,0,1,1,0,1,,,
659,Nov 10,olirus,25.5,20.33,0,2,1,0,1,trunk split,,
660,Nov 10,olirus,16,47.49,0,1,1,0,1,,,
661,Nov 10,olirus,6.5,11.66,0,1,0,0,1,,,
662,Nov 10,olirus,11.4,14.16,0,1,0,0,1,,,
663,Nov 10,olirus,10.25,10.83,0,1,2,1,1,,,
664,Nov 10,olirus,21.5,32.49,0,0,1,0,1,trunk split near bottom,,
665,Nov 10,olirus,9.7,27.49,0,1,1,0,1,trunk split near bottom,,
1270,Nov 6,ginkgo,,,,,,,0,removed,,
1268,Nov 6,peapea,3.8,11,0,1,0,0,1,,,
1347,Nov 6,appcra,7.2,15,0,0,0,1,1,,,
1346,Nov 6,appcra,6.4,16,0,2,1,1,1,,,
1325,Nov 6,appcra,3.5,12,0,0,0,0,1,,,
1324,Nov 6,appcra,3.8,13,0,1,0,0,1,,,
1323,Nov 6,appcra,3.8,11,0,1,0,0,1,,,
1317,Nov 6,appcra,2.2,9,0,1,0,0,1,,,
1316,Nov 6,appcra,2.9,14,0,1,0,0,1,,,
1314,Nov 6,appcra,2.2,12,0,0,1,0,1,,,
1312,Nov 6,appcra,4.8,14,0,2,0,0,1,,,
1310,Nov 6,appcra,5.4,17,0,1,0,0,1,holes in bark,,
1308,Nov 6,appcra,6,21,0,0,0,0,1,,,
1307,Nov 6,appcra,6.7,17,0,0,0,0,1,,,
1304,Nov 6,appcra,7,18,0,1,0,0,1,,,
1283,Nov 6,appcra,4.8,12,0,1,0,0,1,,,
1284,Nov 6,appcra,4.9,16,0,1,0,0,1,,,
1191,Nov 6,oakred,7.3,24,0,0,1,0,1,,,
1338,Nov 6,oakred,8.6,23,0,1,0,0,1,,,
1341,Nov 6,oakred,9.5,23,0,0,0,0,1,,,
1340,Nov 6,oakred,12.4,28,0,0,0,0,1,,,
1326,Nov 6,oakred,3.8,12,0,0,0,0,1,,,
916,Nov 6,oakred,4.1,11,0,1,0,0,1,,,
912,Nov 6,oakred,4.8,14,0,0,0,0,1,,,
939,Nov 6,ginkgo,4.1,9,0,0,0,0,1,,,
938,Nov 6,ginkgo,5.4,14,0,0,0,0,1,,,
935,Nov 6,ginkgo,3.8,11,0,0,0,0,1,,,
928,Nov 6,ginkgo,2.5,7,0,0,0,0,1,,,
927,Nov 6,ginkgo,2.5,5,0,0,0,0,1,,,
918,Nov 6,ginkgo,3.8,12,0,0,0,0,1,,,
919,Nov 6,ginkgo,4.1,8,0,0,0,0,1,,,
921,Nov 6,ginkgo,4.3,12,0,0,0,0,1,,,
921,Nov 6,ginkgo,4.4,13,0,0,0,0,1,,,
